mal_id,title,title_english,release_year,score,episodes,duration,favorites,type,status,genres,source,season,studios,themes,rank,rating
5.0,Cowboy Bebop: Tengoku no Tobira,Cowboy Bebop: The Movie,2001,8.32,1.0,1 hr 55 min,410322.0,Movie,FINISHED,"Action, Sci-Fi",Original,SUMMER,Bones,"Adult Cast, Space",238.0,R - 17+ (violence & profanity)
15.0,Eyeshield 21,Eyeshield 21,2005,7.81,145.0,23 min per ep,195516.0,TV,FINISHED,Sports,Manga,spring,Gallop,Team Sports,883.0,PG-13 - Teens 13 or older
16.0,Hachimitsu to Clover,Honey and Clover,2005,7.859999999999999,24.0,23 min per ep,284761.0,TV,FINISHED,"Comedy, Drama, Romance",Manga,spring,J.C.Staff,"Adult Cast, Love Polygon, Visual Arts",764.0,PG-13 - Teens 13 or older
24.0,School Rumble,School Rumble,2004,7.79,26.0,23 min per ep,344389.0,TV,FINISHED,"Comedy, Romance",Manga,fall,Studio Comet,"Gag Humor, Love Polygon, School",968.0,PG-13 - Teens 13 or older
26.0,Texhnolyze,Texhnolyze,2003,7.706666666666666,22.0,23 min per ep,288125.0,TV,FINISHED,"Avant Garde, Drama, Mystery, Sci-Fi, Suspense",Original,spring,Madhouse,"Adult Cast, Organized Crime, Psychological",1261.0,R+ - Mild Nudity
32.0,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",Neon Genesis Evangelion: The End of Evangelion,1997,8.540000000000001,1.0,1 hr 26 min,1037042.0,Movie,FINISHED,"Avant Garde, Drama, Sci-Fi, Suspense",Original,SUMMER,"Gainax, Production I.G","Mecha, Psychological",124.0,R+ - Mild Nudity
43.0,Koukaku Kidoutai,Ghost in the Shell,1995,8.18,1.0,1 hr 22 min,701067.0,Movie,FINISHED,"Award Winning, Mystery, Sci-Fi, Suspense",Manga,FALL,Production I.G,"Adult Cast, Detective, Mecha, Psychological",349.0,R+ - Mild Nudity
52.0,Kidou Tenshi Angelic Layer,Battle Doll Angelic Layer,2001,7.173333333333333,26.0,24 min per ep,62628.0,TV,FINISHED,"Award Winning, Comedy, Drama, Sci-Fi",Manga,spring,Bones,Strategy Game,3345.0,PG-13 - Teens 13 or older
54.0,Appleseed (Movie),Appleseed (Movie),2004,6.87,1.0,1 hr 45 min,78193.0,Movie,FINISHED,Sci-Fi,Manga,SPRING,Digital Frontier,"Mecha, Military",4549.0,R - 17+ (violence & profanity)
55.0,Arc the Lad,Arc the Lad,1999,6.390000000000001,26.0,22 min per ep,18202.0,TV,FINISHED,"Action, Adventure, Fantasy, Horror, Sci-Fi",Game,spring,Bee Train,"",7454.0,R - 17+ (violence & profanity)
65.0,Rozen Maiden: Träumend,Rozen Maiden: Träumend,2005,7.513333333333333,12.0,24 min per ep,111263.0,TV,FINISHED,"Action, Drama, Supernatural",Manga,fall,Nomad,"",1685.0,PG-13 - Teens 13 or older
76.0,Mahou Shoujo Lyrical Nanoha,Magical Girl Lyrical Nanoha,2004,7.31,13.0,25 min per ep,110858.0,TV,FINISHED,"Action, Comedy, Drama",Original,fall,Seven Arcs,Mahou Shoujo,2506.0,PG-13 - Teens 13 or older
89.0,Kidou Senshi Victory Gundam,Mobile Suit Victory Gundam,1993,6.713333333333334,51.0,24 min per ep,32235.0,TV,FINISHED,"Drama, Sci-Fi",Original,spring,Sunrise,"Mecha, Military, Space",6126.0,PG-13 - Teens 13 or older
90.0,Shin Kidou Senki Gundam Wing,Mobile Suit Gundam Wing,1995,7.483333333333333,49.0,24 min per ep,171254.0,TV,FINISHED,"Drama, Sci-Fi",Original,spring,Sunrise,"Mecha, Military, Space",1542.0,PG-13 - Teens 13 or older
91.0,Shin Kidou Senki Gundam Wing: Endless Waltz,Mobile Suit Gundam Wing: Endless Waltz,1997,7.56,3.0,30 min per ep,51762.0,OVA,FINISHED,"Award Winning, Drama, Sci-Fi",Original,WINTER,Sunrise,"Mecha, Military, Space",1313.0,PG-13 - Teens 13 or older
